conversation_id,message,reply,correctness,groundedness,helpfulness,tone,hallucination
conv_1974725,how do you turn off the charging notifications it’s 5 am and my phones burning hot and the noti used all my battery,"If your iPhone is getting unusually hot, unplug it and move it away from direct heat.Close intensive apps and let it cool down. If it remains hot, shuts down, or shows a temperature warning, contact Apple Support for help.",4,2,5,4,5
conv_1358040,"In other news, my iPhone battery sucks. @115858 https://t.co/0FdLk4Tsif","Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_1982662,"On a perfectly preserved iPhone 6s battery with iOS 10.x lasted 3 days, iOS 11.3 drains battery in less than 20 hours @AppleSupport help!!!","Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_1580487,fix the update I shouldn’t be able to watch my battery drain in real time,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_866648,Hey @AppleSupport how do I permanently turn off that ‘live’ thing on my iphones camera? It keeps turning back on and I hate it.,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",2,2,2,4,5
conv_2285836,Does anyone else sometimes have this problem with there camera?@AppleSupport https://t.co/36KZXXtAAW,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_2692810,why would the home button and touch id suddenly stop working?,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_323439,Hi! I have a 2012 Macbook Pro w/o Apple Care. Is there anything that can be done about this? Preferably free of charge.. https://t.co/8dgruk2YqO,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",2,4,2,4,5
conv_1903009,"when I take a screenshot on the new iOS it no longer previews in the bttm left and screen doesnt white flash, is this a bug??","Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",2,2,2,4,5
conv_596891,Hi @AppleSupport please explain why my charger would almost burn down my house? Literally melting. https://t.co/YgCNkrQffS,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,4,2,4,5
conv_2341858,Okay but seriously @115858 is there a way to undo this update?!!!! Because this shit is TRASH ! R.I.P to my battery life & R.I.P to texting anything with an “i” in it !😒😒😒😒,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_1701019,", This new update drains my battery waaaaay too fast 👎🏼","Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_1896363,My battery went from 50% to 35% in less then one minute. WTF,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",3,2,2,4,5
conv_617289,hey there ! I updated to iOS 11.1.2 last night & today my device keeps getting restart on its own...it has happened like 10-12 times while i’m using. Help !!!,"Sorry your iPhone keeps restarting unexpectedly.Install any available iOS update, check that you have enough storage, and disconnect accessories to see whether the restarts stop. If the issue continues, Apple Support can help diagnose it.",4,2,5,4,5
conv_282537,your update decides to turn on my Bluetooth & WiFi whenever it wants draining my batter. Finding contacts by name is messed up,"Sorry to hear you're having trouble with your iPhone.Please share your iPhone model and what happens when you connect the charger, so Apple Support can guide the next troubleshooting step.",2,2,2,4,5
