conversation_id,message,intent,expected_action,first_support_reply,label_source,review_status,notes
conv_1974725,how do you turn off the charging notifications it’s 5 am and my phones burning hot and the noti used all my battery,device_hardware_issue,ESCALATE,@584789 We'd like to look into this with you. Could you Direct Message us and let us know what version of iOS is on the device? https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1358040,"In other news, my iPhone battery sucks. @115858 https://t.co/0FdLk4Tsif",device_hardware_issue,AUTO_HANDLE,"@436617 We'd love to help with any battery issues you're having. First, let us know if this guide helps: https://t.co/TpjqFp3jxD",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1982662,"On a perfectly preserved iPhone 6s battery with iOS 10.x lasted 3 days, iOS 11.3 drains battery in less than 20 hours @AppleSupport help!!!",device_hardware_issue,AUTO_HANDLE,"@586865 We're happy to do everything we can to help. To start, please DM us with the country where you're located. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1580487,fix the update I shouldn’t be able to watch my battery drain in real time,device_hardware_issue,AUTO_HANDLE,@486632 We'd like to look into this with you. Please DM us your current iOS version and current country. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_866648,Hey @AppleSupport how do I permanently turn off that ‘live’ thing on my iphones camera? It keeps turning back on and I hate it.,device_how_to,AUTO_HANDLE,@325784 You can turn off the Live Photos feature by going to Settings > Camera > Preserve Settings. For more: https://t.co/C3E4kiTqdx,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2285836,Does anyone else sometimes have this problem with there camera?@AppleSupport https://t.co/36KZXXtAAW,device_hardware_issue,AUTO_HANDLE,@421464 That's unexpected. Let us help. Join us in DM and let us know your iOS version. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_2692810,why would the home button and touch id suddenly stop working?,device_hardware_issue,AUTO_HANDLE,@756909 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_323439,Hi! I have a 2012 Macbook Pro w/o Apple Care. Is there anything that can be done about this? Preferably free of charge.. https://t.co/8dgruk2YqO,payment_billing_issue,ESCALATE,@193025 Thanks for reaching out to us. Please send us a DM and we can chat with you there. Thanks. https://t.co/GDrqU22YpT,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_1903009,"when I take a screenshot on the new iOS it no longer previews in the bttm left and screen doesnt white flash, is this a bug??",software_update_issue,AUTO_HANDLE,@567124 Great question. You should still be able to see these things when taking a screenshot. Let's look into this together in DM. https://t.co/GDrqU2kzhr,human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
conv_596891,Hi @AppleSupport please explain why my charger would almost burn down my house? Literally melting. https://t.co/YgCNkrQffS,device_hardware_issue,ESCALATE,"@261496 We certainly want to look into this with you. Please send us a DM, and we'll investigate this with you. https://t.co/GDrqU22YpT",human_reviewed,reviewed,Human reviewed: intent and expected action verified/corrected.
